
how long have it be since you review the objective of you benefit and service program,how bn:00106124a have it bn:00083181v since you bn:00092618v the bn:00002179n of you bn:00009904n and bn:00070654n bn:00064646n
`` we know person spend some and person must have drop a_few dollar get that load on ``,`` we bn:00085261v bn:00046516n bn:00087372v some and bn:00046516n must have bn:00087372v bn:00096109a bn:00013578n bn:00082276v that bn:00051673n bn:00116422r ``
hand the money over person wipe he hand on he pant_leg as if rid himself of something unclean,bn:00088825v the bn:00055644n over bn:00046516n bn:00091469v he bn:00042759n on he bn:00060424n as if bn:00086944v himself of something bn:00101429a
he glance at person be disdainful,he bn:00023260n at bn:00046516n bn:00083181v bn:00100363a
`` shall we get_out of here ``,`` shall we bn:00087845v of bn:00115639r ``
leave the cardroom they move_back through the location the way they have come,bn:00087845v the bn:00015998n they bn:00087267v through the bn:00051760n the bn:00027352n they have bn:00085319v
glowering look meet they in the bar but there be no attempt to halt they,bn:00100906a bn:00006386n bn:00087598v they in the bn:00008462n but there bn:00083185v no bn:00007011n to bn:00082787v they
pause in the outside_door to glance behind he person look he unspoken warning and step_out,bn:00089324v in the bn:00032432n to bn:00088869v behind he bn:00046516n bn:00090451v he bn:00107069a bn:00001469n and bn:00094346v
he and person clatter down the high steps to the street,he and bn:00046516n bn:00083888v down the bn:00104163a bn:00073853n to the bn:00074595n
neither speak till they reach they horse,neither bn:00090943v till they bn:00082790v they bn:00031345n
person pause there look_across at the young fellow,bn:00046516n bn:00089324v there bn:00090453v at the bn:00104589a bn:00011241n
it 'll be a pleasure for you to return this money to person and tell he about it person ``,it 'll bn:00083181v a bn:00062972n for you to bn:00092791v this bn:00055644n to bn:00046516n and bn:00091011v he about it bn:00046516n ``
he start to return it,he bn:00083340v to bn:00092791v it
to he faint surprise person hold_up he hand,to he bn:00102715a bn:00075412n bn:00046516n bn:00089387v he bn:00042759n
`` not i `` he rule decidedly,`` bn:00116360r i `` he bn:00086420v bn:00114632r
i have have enough,i have bn:00087863v bn:00115216r
it be you that track_down it down anyway person `` he pursue strictly,it bn:00083182v you that bn:00089521v it down bn:00114304r bn:00046516n `` he bn:00087628v bn:00117154r
'' i 'll shove_along home ``,'' i 'll bn:00083665v bn:00000356n ``
`` whatever you say ``,`` whatever you bn:00093287v ``
person swing into the saddle yet still he delay he brow pucker,bn:00046516n bn:00094678v into the bn:00068762n yet bn:00114216r he bn:00086515v he bn:00013390n bn:00085245v
`` you owe it to person to give she a chance to explain that she be defend you really `` he observe mildly,`` you bn:00091361v it to bn:00046516n to bn:00088814v she a bn:00017621n to bn:00087869v that she be bn:00086452v you bn:00114117r `` he bn:00090740v bn:00116256r
`` person be not `` retort person tartly,`` bn:00046516n be not `` bn:00085351v bn:00046516n bn:00117214r
`` he 'll know when you tell he,`` he 'll bn:00085261v when you bn:00094862v he
but i want this to sink_in awhile,but i bn:00086682v this to bn:00085116v bn:00114465r
then maybe next time he win not be so quick on the trigger ``,bn:00114281r bn:00116211r bn:00103172a bn:00019848n he win not bn:00083181v bn:00117043r bn:00109345a on the bn:00042238n ``
`` person have never pretend to give advice in such affairs,`` bn:00046516n have bn:00116326r bn:00082293v to bn:00088821v bn:00001592n in such bn:00001738n
'' you be the doctor `` he return with a smile,'' you bn:00083182v the doctor `` he bn:00085351v with a bn:00041807n
'' but i still think person 's a awful nice girl person ``,'' but i bn:00114216r bn:00083370v bn:00046516n 's a bn:00114463r bn:00101000a bn:00034453n bn:00046516n ``
`` you do not have to tell i `` flash person,`` you do not have to bn:00093287v i `` bn:00088279v bn:00046516n
give the other a dark look he haul he bronc around and trot down off the street,bn:00088819v the other a dark bn:00006386n he bn:00084601v he bn:00013306n bn:00114339r and bn:00095186v bn:00115110r off the bn:00074595n
person let he go follow more leisurely,bn:00046516n bn:00082536v he bn:00086600v bn:00088421v bn:00116284r bn:00114419r
at the first restaurant he sensibly pull_up to go_in for he dinner and as a consequence do not see person strike the open range at the mouth of the canyon and head straight across the swell for location,at the bn:00103006a bn:00029545n he bn:00116797r bn:00087282v to bn:00085363v for he bn:00027206n and as a bn:00021961n do bn:00116360r bn:00088205v bn:00046516n bn:00085384v the bn:00102600a bn:00066139n at the bn:00056137n of the bn:00015322n and bn:00089259v bn:00115029r across the bn:00075574n for bn:00051760n
the truth be the puncher be both bewildered and dismayed by he own mixed luck,the bn:00076789n bn:00083181v the bn:00016814n bn:00083181v both bn:00097677a and bn:00096663a by he bn:00096707a bn:00097622a bn:00019222n
`` person 's always glad to see i over there `` he muse bleakly,`` bn:00046516n 's bn:00114250r bn:00103601a to bn:00088205v i over there `` he bn:00084889v bn:00114580r
yet have he not visit the girl at location he would never have be involve in this latest tangle,yet have he bn:00116360r bn:00084390v the bn:00034453n at bn:00051760n he would bn:00116326r have bn:00083181v bn:00089893v in this latest bn:00053964n
over and above that however be he grow suspicion of person 's part in recent event,over and above that bn:00114216r bn:00083181v he grow bn:00045216n of bn:00046516n 's bn:00036823n in bn:00109521a bn:00016402n
`` person could not have know about person 's money unless he be tell and who else would have tell he `` he ask himself,`` bn:00046516n could not have bn:00085261v about bn:00046516n 's bn:00055644n unless he be bn:00094862v and who else would have bn:00094862v he `` he bn:00082819v himself
`` it be the second time war ax hands make a play for that money,`` it bn:00083187v the second bn:00019848n war ax bn:00042833n bn:00087106v a bn:00010261n for that bn:00055644n
how much of a accident could that be ``,how bn:00106995a of a bn:00000691n could that bn:00083181v ``
near home he jerk to attention at the distant crack of a gun,bn:00082732v bn:00000356n he bn:00089960v to bn:00007023n at the bn:00101595a bn:00085937v of a bn:00042221n
in town no one pay much attention to a occasional shot but on the range gunfire have a meaning,in bn:00077773n no one bn:00086761v bn:00116295r bn:00007020n to a bn:00107707a bn:00071206n but on the bn:00066139n bn:00042242n bn:00089240v a bn:00046139n
haul_up person listen carefully,bn:00087282v bn:00046516n bn:00090400v bn:00114671r
two minute later it come again a double explosion follow by a third sound more distant,bn:00095950a bn:00055094n bn:00114165r it bn:00085320v bn:00114171r a bn:00101723a bn:00011468n bn:00088422v by a bn:00096000a bn:00094054v bn:00116284r bn:00101595a
as near as person could determine the shot come from the direction of the location ranch_house,as near as bn:00046516n could bn:00082811v the bn:00071206n bn:00085319v from the bn:00027352n of the bn:00051760n bn:00066124n
he tighten_up in a twinkling,he bn:00085676v in a bn:00011276n
so far as he know only he father could be there,so far as he bn:00085261v bn:00114234r he bn:00009616n could bn:00083183v there
what do it mean,what do it bn:00087672v
clap spur to the bronc he set_off at a sharp canter with grow alarm,bn:00085032v bn:00036984n to the bn:00013306n he bn:00086602v at a bn:00114123r bn:00015349n with grow bn:00002410n
he first glimpse of the ranch_house across the brushy swell tell he nothing,he bn:00103006a bn:00023260n of the bn:00066124n across the bn:00098714a bn:00075574n bn:00087777v he bn:00007146n
still a quarter_mile away the fresh clap of gun only serve to increase he speed,bn:00114216r a bn:00000115n away the bn:00103327a bn:00008250n of bn:00042221n bn:00114626r bn:00093510v to bn:00089667v he bn:00045284n
set a course straight for the house he be cover ground fast when a angry bee buzz past close to he face,bn:00086714v a bn:00023288n bn:00115029r for the bn:00044994n he be bn:00085906v bn:00028934n bn:00115335r when a bn:00097107a bn:00009524n bn:00083762v bn:00114629r bn:00114747r to he bn:00032600n
when it be follow by a second whine even closer person swerve sharply aside into a depression,when it be bn:00088421v by a second bn:00095733v bn:00115246r closer bn:00046516n bn:00086173v bn:00114123r bn:00114376r into a bn:00026404n
he know now what he be up against,he bn:00085261v bn:00116381r what he bn:00083183v up against
whoever be out there hide in the brushy cover be besiege the location house and have spot he approach be determined to drive he off before he could get_into the fight,whoever bn:00083183v out bn:00114427r bn:00085509v in the bn:00098714a bn:00021526n be bn:00083366v the bn:00051760n bn:00044994n and have bn:00086664v he bn:00005142n bn:00083181v bn:00101277a to bn:00087330v he off before he could bn:00088764v the bn:00020858n
curse himself for have ride out the last few day without a rifle in he saddle boot person draw he colt and examine it briefly,bn:00086168v himself for have bn:00093013v out the bn:00105739a bn:00102920a bn:00000086n without a bn:00067785n in he bn:00068762n bn:00012167n bn:00046516n bn:00087237v he bn:00020791n and bn:00087787v it bn:00114610r
if he wonder whether the attacker would allow he to pull away unmolested he have he answer a moment later,if he bn:00092265v whether the bn:00002021n would bn:00082536v he to bn:00082920v bn:00114455r bn:00112983a he bn:00089246v he bn:00004451n a bn:00046942n bn:00114165r
`` over this way,`` over this bn:00027352n
he be not go far `` a harsh cry float to he across the brush,he be not bn:00088912v bn:00115323r `` a bn:00103988a bn:00014793n bn:00083195v to he across the bn:00013488n
a carbine crack more loudly and a slug clip fragment from the brush off at one side,a bn:00015851n bn:00085937v bn:00116284r bn:00114243r and a bn:00013807n bn:00085138v bn:00036165n from the bn:00013488n off at one bn:00071431n
the would-be assassin have he position figure pretty close,the would-be bn:00006461n have he bn:00062704n bn:00084374v bn:00115313r bn:00114748r
dismount person look about hastily,bn:00086995v bn:00046516n bn:00090448v bn:00114074r bn:00115605r
toward the west this depression lead toward a draw,toward the bn:00117610r this bn:00026404n bn:00088927v toward a bn:00028624n
lead he pony he hurry that way not remount till he be well below the level of the surrounding range,bn:00085567v he bn:00063526n he bn:00089531v that bn:00027352n bn:00116360r bn:00092780v till he bn:00083181v bn:00117604r below the bn:00050860n of the bn:00099708a bn:00066139n
swing up then and bend forward over the horn he urge he mount down the meandering draw,bn:00094678v up bn:00114281r and bn:00083402v bn:00115431r over the bn:00044777n he bn:00087843v he bn:00056067n down the bn:00106525a bn:00028624n
